FID_,average_max_rainfall,average_2hr_rainfall,average_72hr_rainfall,distance to coast,EV,TWI,DTW,label,probability_1,predicted,correct
12366,1.01471041,0.167446468,0.570985441,214.2087583,0.978504188,827.3372204,6.744657388,1,0.75805014,1,1
10175,0.933749844,0.158794371,0.544197527,80.43516999,1.314659522,368.517973,6.635165593,1,0.85516,1,1
14951,0.949379189,0.165486208,0.572868424,65.18915274,1.202443224,268.2298777,5.8576077,1,0.82482046,1,1
8115,0.939817794,0.164599244,0.552461763,966.4341979,2.724575321,2654.840169,7.3807706,1,0.8226079,1,1
11587,0.982430136,0.169013377,0.564863268,1132.505385,2.746355126,3164.234118,5.267300669,0,0.19319063,0,1
14419,1.083086295,0.171775563,0.608518952,446.1478726,1.433398842,789.4815855,6.235888246,1,0.9570139,1,1
5962,0.94473296,0.167706779,0.55605259,445.6986672,2.585214959,1647.691081,4.232029771,0,0.20361863,0,1
11768,0.993938069,0.169111069,0.566842445,1032.3106,2.667568891,2325.689682,4.297269147,0,0.12006339,0,1
6450,1.020906982,0.174915605,0.565188691,483.0920079,2.123749792,882.6602976,7.479861955,1,0.9354181,1,1
3782,1.030187848,0.167596927,0.538915447,1182.023477,3.907214471,1434.401656,4.986893758,0,0.10076284,0,1
4779,1.019298154,0.168454948,0.5484237,96.02791992,3.043024329,326.7867616,5.065683555,0,0.055144068,0,1
11033,1.077420543,0.1565017,0.54703359,361.9299778,3.261412674,1394.774015,6.973599751,1,0.8517484,1,1
1794,1.034366126,0.173033356,0.540837186,288.4759893,3.401219527,154.9399083,3.657996702,0,0.09306996,0,1
5776,0.922105214,0.15463918,0.534681833,857.1158905,2.536217024,992.6561541,5.104699299,0,0.20880456,0,1
14585,1.076510907,0.172078359,0.608687747,17.14894016,0.683726974,64.74889197,5.40902772,1,0.9552946,1,1
2277,1.031057432,0.172994399,0.541658342,185.1874217,3.446138829,289.6604706,5.265265367,0,0.0895502,0,1
3810,0.908298753,0.15973425,0.54048755,6.777056302,0.772244617,20.67135598,5.371769486,1,0.97774917,1,1
8525,1.031588437,0.172731452,0.564922204,593.1700764,2.302285169,1561.244142,6.671044713,1,0.8934567,1,1
11493,1.064415319,0.158540548,0.549524061,190.1280893,2.495201902,614.3443254,7.130395304,1,0.87165207,1,1
9771,1.013800133,0.171852076,0.567040005,550.7277748,2.005961358,1628.012702,8.346141878,1,0.8567137,1,1
391,1.044844445,0.172282388,0.536811313,1717.000535,3.703804164,2936.322572,9.992264269,1,0.89499974,1,1
9126,1.031238155,0.166129872,0.555019885,827.1149758,3.021105179,1381.319295,7.363266412,1,0.801928,1,1
12925,1.011759105,0.167285486,0.570353712,214.8674245,1.697892083,777.7821796,6.045436024,0,0.42691478,0,1
1455,1.033283281,0.170430641,0.53876135,1150.416391,5.278757825,756.4624445,4.625753437,0,0.12745193,0,1
9600,1.061631097,0.157975702,0.545157576,897.1141929,3.364150237,1349.510826,5.348942674,0,0.41231743,0,1
1109,0.935950908,0.174675167,0.557082644,72.49085657,2.81861767,309.8917074,5.203687419,0,0.06937138,0,1
2403,1.031547419,0.172196337,0.541082633,472.9502778,4.211276757,114.3908449,4.444986208,0,0.094137475,0,1
9857,1.033105686,0.165140752,0.555143044,384.1112688,2.140220486,419.4196062,6.434544603,1,0.80996466,1,1
14475,1.0943277,0.172503974,0.61269988,262.0723775,1.122614194,753.9796802,8.167142904,1,0.9141038,1,1
1035,0.934653686,0.179802452,0.562728888,229.1516585,2.748398879,726.3573781,7.104341342,0,0.47974995,0,1
17318,1.082734656,0.177095151,0.573502131,239.9636567,0.851182897,818.1830865,6.400281466,1,0.9780874,1,1
9395,0.969551658,0.167464453,0.561138532,1049.724014,2.309571367,3718.322599,7.596712869,1,0.9054852,1,1
17436,0.917965746,0.169906006,0.542342101,8.700105839,1.771920667,44.07647736,4.298327568,0,0.3653632,0,1
11677,1.014033756,0.169588728,0.566609373,921.7371709,3.11824734,1915.933921,5.874168989,0,0.375244,0,1
10066,1.065927993,0.157034097,0.543571072,1082.432604,2.807847229,1462.128157,6.115802267,1,0.8310866,1,1
531,1.0119693,0.174004868,0.544746978,977.6845619,4.519430307,1342.167312,5.125912177,0,0.14432931,0,1
7608,0.980173509,0.172632174,0.564117597,623.84289,2.840701666,1471.552258,5.011618921,0,0.18883403,0,1
3910,0.91972006,0.167236463,0.551259046,72.58956543,1.691756208,276.7557834,4.00284727,0,0.3988899,0,1
2887,1.037000216,0.165261682,0.535455966,1337.901583,3.368711912,1755.311199,6.335663952,1,0.7289125,1,1
17337,1.104093784,0.178079633,0.576728014,154.1607517,2.989184842,668.7125581,5.08777901,0,0.105548136,0,1
